project_num,project_name,SowKey
47756,CAB/B-463 TheWire Site Updates 2015,
139134,CABB - Account Transition,
101566,CABB - Brand Expression Guide ~,
67593,CABB - Business Print ~,
60780,CABB - Business TV Productions ~,
62753,CABB - Emails - Acquisition (NonSub)~,
61159,CABB - Fiber Campaign ~,
61182,CABB - Misc. Projects ~,
80518,CABB - PRI Campaign ~,
67589,CABB - Sales Opportunities ~,
77154,CABB - Speed Increase Campaign ~,
56697,CABB - TheWire (OLD)~,
102931,CABB - TheWire Ongoing,
166539,CABB - TV Spot Renewals,
63707,CABB - Upgrade Email ~,
77129,CABB - Web Projects ~,
104141,CABB 2016 Planning ~,
50115,CABB 519 Business Website Updates~,
136345,CABB April Misc Projects ~,
110543,CABB Business Resource Pages ~,
109501,CABB Evolve Landing Page Review ~,
116104,CABB February Misc Requests ~,
119090,CABB March Misc Requests,
112671,CABB Ongoing Digital Media,
112673,CABB Ongoing Print Media Management,
112670,CABB Ongoing Social Media,
107942,CABB Sample Marketing Collateral Refresh ~,
61185,CABB Status Meetings~,
103193,CABB Web Project - eRate Initiative ~,
61292,CABB Website Mobile Comps & Updates~,
13781,Cable ONE - The Wire Blog,
50304,Cable One PR Newsletter,
49665,Cable One THE WIRE updates,
296586,CABM -  2018 FSI Media (Shared Mail & Direct Mail),
285782,CABM - 2017 Acquisition B-Roll Shoot,
61194,CABM - 2017 Media Coordination,
293678,CABM - 2018 Acquisition TV & Radio,
296630,CABM - 2018 Misc. Projects,
67587,CABM - Acquisition Print ~,
67586,CABM - Acquisition Radio,
67585,CABM - Acquisition TV,
161167,CABM - Answer Book/Quick Start Guide,
61154,CABM - Digital Media ~,
161943,CABM - Email,
61150,CABM - FSI Media (Shared Mail & Direct Mail),
273561,CABM - Julie Overview Meeting,
60779,CABM - Misc. Projects,
246502,CABM - NEW BUSINESS/SALES,
67629,CABM - Sales Opportunities ~,
308070,CABM - True To Life Campaign 2018,
74320,CABM - Web,
366973,CABM | 2019 Acquisition Media Coordination,
366972,CABM | 2019 Misc Projects,
366971,CABM | 2019 Shared Mail,
369589,CABM | Acquisition Media Coordination 2019,
369582,CABM | Misc Projects 2019,
296166,CABM- 2018 Media Coordination,
388387,CAD - Cadence Education - UX/DATA,
501777,Cadence Education: CRO Updates,Cadence Education - CRO Pilot Program SOW
442828,Cadence Education: Website,
539253,Cadence | 2022 Ad Hoc Requests,
660090,Cadence | 2024 Ad-hoc,
510599,Cadence | Ad Hoc 2021,
649634,Cadence | Ad Hoc Web 2023,
618177,Cadence | CookieBot Fix,
609602,Cadence | GA4 Setup,Cadence  _ GA4 Setup SOW.docx
624073,Cadence | Plugin Updates 2023,
518749,Cadence | SEO Audit,Cadence - SEO Audit SOW
528329,Cadence | SEO Management,
525476,Cadence | SEO One-Time Fixes,Cadence Education - SEO One-Time Fixes - SOW
524796,Cadence | SOCi Implementation,Cadence Education - SOCi Integration SOW
502137,Calero-MDSL | Website Maintenance,
513154,CampusLogic: Amended Scope - Websites,LT_CampusLogic-Website SOW Amendment_7.6.21
488986,CampusLogic: Non-BIllable,
487213,CampusLogic: Original Scope - Websites Rebuild (all 3 sites),
496563,CampusLogic: Shift Summit Videos,
521444,CampusWorks Change Order - Homepage,Signed SOW CampusWorks - Change Order Home Page CCM & Design Comp
506243,CampusWorks Website,Signed SOW CampusWorks - Website Redesign
4134,Canal Partners Web dev,
450726,Canvas | Product Launch Test Campaign,
391,Captimo FB App/Admin,
5421,Cardon Development Group Website Build,
5447,Cardon Global Website Build,
282537,Catellus (2017),
340674,Catellus - Banner & Video Creation,
354623,Catellus - Email Newsletter,
291656,Catellus - Non-Billable,
370374,Catellus FY19 Retainer,
436498,Catellus FY20 Retainer,
487025,Catellus FY21 Retainer,
383035,Catellus Groundbreaking 2019,
293394,Catellus Project Work (2018),
299383,Catellus Retainer (2018),
570136,Catellus | Ad Hoc 2022,
552766,Catellus | Catellus Creative 2022,
552770,Catellus | Catellus Website Ad Hoc 2022,
552769,Catellus | Catellus Website Maintenance 2022 & 2023,
354834,Catellus | Developers Brochure,
490461,Catellus | Hyatt Place Video,Catellus - Hyatt Video SOW_LT.7.13.21 v23
